title,description
Sordid Lives,"Sometimes it takes a death to bring a family together. The all-star casts puts a comedic twist on a story of unconditional love, acceptance and ""coming out"" in a Texas family. The eccentric cast of characters come together when their intertwining lives prepare for the funeral of the family matriarch."
Resident Evil,"Based on the popular video game, Milla Jovovich and Michelle Rodriguez star as the leaders of a commando team who must break into ""the hive,"" a vast underground genetics laboratory operated by the powerful Umbrella Corporation. There, a deadly virus has been unleashed, killing the lab's personnel and resurrecting them as the evil Un-dead. The team has just three hours to shut down the lab's supercomputer and close the facility before the virus threatens to overrun the Earth."
Bill Cunningham: New York,"Bill Cunningham, one of the mainstays of the New York Times, has been a contributor to the renowned newspaper for many decades. He's also an incurable and eccentric chronicler of fashion, tirelessly snapping photos of and writing about interestingly attired celebrities and ordinary New Yorkers he spots on the street. This exhaustive profile of Cunningham and his work includes interviews with friends -- and often subjects -- Tom Wolfe, David Rockefeller and Vogue magazine's Anna Wintour."
Calibre,Two friends have their nerves and morals tested during a hunting trip in Scotland.
The Dropout,"In a tale of ambition and fame gone terribly wrong, Elizabeth Holmes develops healthcare technology that puts millions of patients at risk and loses everything in the blink of an eye."
American Psycho,"In New York City in 1987, a handsome, young urban professional, Patrick Bateman (Christian Bale), lives a second life as a gruesome serial killer by night. The cast is filled by the detective (Willem Dafoe), the fiance (Reese Witherspoon), the mistress (Samantha Mathis), the coworker (Jared Leto), and the secretary (Chloë Sevigny). This is a biting, wry comedy examining the elements that make a man a monster."
How Not to Live Your Life,"Don Danbury is a young bachelor trying to make his way through life. When his grandmother dies, she leaves Don her house. When he moves in, Don meets her overly enthusiastic caretaker, Eddie, who doesn't want to leave the house. Needing money to help pay off the back payments owed on the house, Don decides to get a housemate. He chooses Abby, with whom he was in love as a teenager. But Abby now has a boyfriend, which poses a problem for Don."
Pawn Stars,"This series opens the doors to the only family-run pawnshop in Las Vegas, where three generations of the Harrison family use their sharp-eyed skills to assess what's real and what's fake. Objects the colorful customers bring in range from the obscure to the truly historic, and it's up to the guys at the Gold & Silver Pawn Shop -- with help at times from their network of experts -- to reveal the sometimes surprising answer to ""What's this worth?"""
Comandante,Filmmaker Oliver Stone profiles Cuban leader Fidel Castro and his country.
The Immortal,"Lanard Mosley is turning 147 years old but he looks 45. After an endless string of unsuccessful attempts to end his life, his granddaughter finally gives him a hit woman for a birthday present."
Kong: Skull Island,"Scientists, soldiers and adventurers unite to explore a mythical, uncharted island in the Pacific Ocean. Cut off from everything they know, they venture into the domain of the mighty Kong, igniting the ultimate battle between man and nature. As their mission of discovery soon becomes one of survival, they must fight to escape from a primal world where humanity does not belong."
Reality,A failing TV station makes a last-ditch effort to create an entertaining show using horrific footage recovered from a dumpster and turn it into a reality show.
Marshland,Two homicide detectives must settle their differences to bring a murderer to justice before more young women are killed.
Girls,"An aspiring writer and her three friends, all in their early 20s, together try to make sense of what life has in store for them after living in New York for two years. They're not sure what they want, or who they want it from, and the picture isn't getting any clearer. Hannah thinks she has what it takes to be a successful writer, if only she would write something. She wants a boyfriend without dealing with an actual relationship, and she wants a job without having to work. Marnie is Hannah's best friend, a Type A personality who has a serious boyfriend and an actual job. Jessa is a devil-may-care bohemian whose apparent lack of fear hides her own kind of insecurity. Her cousin, Shoshanna, is an NYU student who would love nothing more than to experience a ""Sex and the City"" lifestyle. The others tend to underestimate Shoshanna, but she proves to be a sharp source of wisdom."
Penny Dreadful,"Many people are familiar with classic literary characters like Dr. Frankenstein and Dorian Gray. ""Penny Dreadful"" brings those and other characters into a new light by exploring their origin stories in this psychological thriller that takes place in the dark corners of Victorian London. Sir Malcolm is an explorer who has lost his daughter to the city's creatures, and he will do whatever is needed to get her back and to right past wrongs. His accomplice, seductive clairvoyant Vanessa Ives, recruits charming American Ethan Chandler to help locate Sir Malcolm's daughter and slay some monsters. Oscar-winner Sam Mendes (""American Beauty"") is one of the series' executive producers."
Prehistoric Planet,"Experience the wonders of our world like never before in this epic docuseries from Jon Favreau and the producers of ""Planet Earth."" ""Prehistoric Planet"" combines award-winning wildlife filmmaking, the latest paleontology learnings and state-of-the-art technology to unveil the spectacular habitats and inhabitants of ancient Earth for a one-of-a-kind immersive experience. The series is produced by the world-renowned team at BBC Studios Natural History Unit with support from the photorealistic visual effects of MPC (""The Lion King,"" ""The Jungle Book"") applied to concept art created by Jellyfish Pictures (""The Book of Boba Fett,"" ""Spirit: Untamed""). ""Prehistoric Planet"" presents little-known and surprising facts of dinosaur life set against the backdrop of the environments of Cretaceous times, including coasts, deserts, freshwater, ice worlds and forests. Travel back 66 million years to when majestic dinosaurs and extraordinary creatures roamed the lands, seas and skies."
Superbad,"High school seniors Seth and Evan have high hopes for a graduation party. The co-dependent teens plan to score booze and babes so they can become part of the in-crowd, but separation anxiety and two bored police officers complicate the pair's self-proclaimed mission."
The Skin I Live In,"Ever since his beloved wife was horribly burned in an auto accident, Dr. Robert Ledgard (Antonio Banderas), a skilled plastic surgeon, has tried to develop a new skin that could save the lives of burn victims. Finally, after 12 years, Ledgard has created a skin that guards the body, but is still sensitive to touch. With the aid of his faithful housekeeper (Marisa Paredes), Ledgard tests his creation on Vera (Elena Anaya), who is held prisoner against her will in the doctor's mansion."
Ghost in the Shell,"In this Japanese animation, cyborg federal agent Maj. Motoko Kusanagi (Mimi Woods) trails ""The Puppet Master"" (Abe Lasser), who illegally hacks into the computerized minds of cyborg-human hybrids. Her pursuit of a man who can modify the identity of strangers leaves Motoko pondering her own makeup and what life might be like if she had more human traits. With her partner (Richard George), she corners the hacker, but her curiosity about her identity sends the case in an unforeseen direction."
On My Block,"""On My Block"" follows a quartet of bright, street-savvy friends who are navigating their way through high school, including all the of the triumph, pain and newness they experience along the way. Lifelong friendships are tested as Monse, Ruby, Jamal and Cesar confront the challenges of adolescence and life in their predominantly Hispanic and black neighborhood in South Central Los Angeles in this coming-of-age comedy series."
Merchants of Doubt,Spin doctors spread misinformation and confusion among American citizens to delay progress on such important issues as global climate change.
Help,"Friends (Jordan Chan, Cecilia Cheung) persuade a Hong Kong doctor (Ekin Cheng) who became a race-car mechanic to return to the practice of medicine."
City of God,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket (Phellipe Haagensen) is a budding photographer who documents the increasing drug-related violence of his neighborhood. José ""Zé"" Pequeno (Douglas Silva) is an ambitious drug dealer who uses Rocket and his photos as a way to increase his fame as a turf war erupts with his rival, ""Knockout Ned"" (Leandro Firmino da Hora). The film was shot on location in Rio's poorest neighborhoods."
1898: Our Last Men in the Philippines,"In 1898, in the Philippines, a Spanish military squad seeks refuge in a church. Once inside, the squad faces its newest enemy, malaria."
Broken Embraces,"The death of Ernesto Martel (José Luis Gómez) sets off a chain of events that forces one man to come to terms with his past. Before he went blind, Harry Caine was Mateo Blanco (Lluís Homar), a film director who often worked with Ernesto. Ten years ago, Ernesto and Mateo's friendship became a battle for Lena (Penélope Cruz), Ernesto's mistress and Mateo's secret object of affection. When the former recruits his son (Rubén Ochandiano) to spy on the latter, things quickly spiral out of control."
Running Wilde,"""Arrested Development"" alums Mitch Hurwitz and Will Arnett reunite to executive produce this romantic comedy, which also stars Arnett. Arnett plays Steve Wilde, an immature playboy who desperately wants to win the heart of his childhood sweetheart, Emmy (Keri Russell). Emmy, a humanitarian, wants Steve to help her fight Wilde Oil, a company run by his father. But Steve faces a dilemma because fighting his father's company would put his meal ticket in jeopardy. Steve enlists his friends to help him woo Emmy."
OMG: Oh My God!,A merchant (Paresh Rawal) decides to sue God after his antique shop is destroyed in an earthquake and the insurance company denies his claim.
Smiley,"Two men and their friends in Barcelona navigate hesitations, hangups and missed connections as they search for true love."
Roadrunner: A Film About Anthony Bourdain,"It's not where you go. It's what you leave behind.... Chef, writer, adventurer, provocateur: Anthony Bourdain lived his life unabashedly. Roadrunner: A Film About Anthony Bourdain is an intimate, behind-the-scenes look at how an anonymous chef became a world-renowned cultural icon. From Academy Award®-winning filmmaker Morgan Neville (20 Feet From Stardom, Won't You Be My Neighbor?), this unflinching look at Bourdain reverberates with his presence, in his own voice and in the way he indelibly impacted the world around him."
The Dressmaker,"Accused of murder when she was a child, a dressmaker (Kate Winslet) returns to her small Australian town to seek revenge on the locals who did her wrong."
The Crossing,"When refugees from a war-torn country start seeking asylum in a small American fishing town, it becomes clear that something strange is going on. The residents soon learn that the country they are fleeing from is America, and the war they are escaping hasn't happened yet. While the government sets to work trying to untangle the truth behind the ominous migration, the fact that the lives of those involved will never again be the same seems to be the only thing that no one can deny."
Pay It Forward,"The story of a social studies teacher who gives an assignment to his junior high school class to think of an idea to change the world for the better, then put it into action. When one young student creates a plan for ""paying forward"" favors, he not only affects the life of his struggling single mother, but he sets in motion an unprecedented wave of human kindness which, unbeknownst to him, has blossomed into a profound national phenomenon."
Elephant Song,"After a friend dies, a waitress sets out to fulfill his wish to be buried rather than cremated."
Erin Brockovich,"Erin Brockovich (Julia Roberts) is a woman in a tight spot. Following a car accident in which Erin is not at fault, Erin pleads with her attorney Ed Masry (Albert Finney) to hire her at his law firm. Erin stumbles upon some medical records placed in real estate files. She convinces Ed to allow her to investigate, where she discovers a cover-up involving contaminated water in a local community which is causing devastating illnesses among its residents."
Creed,"Adonis Johnson (Michael B. Jordan) never knew his famous father, boxing champion Apollo Creed, who died before Adonis was born. However, boxing is in his blood, so he seeks out Rocky Balboa (Sylvester Stallone) and asks the retired champ to be his trainer. Rocky sees much of Apollo in Adonis, and agrees to mentor him, even as he battles an opponent deadlier than any in the ring. With Rocky's help, Adonis soon gets a title shot, but whether he has the true heart of a fighter remains to be seen."
Tae Guk Gi: The Brotherhood of War,"Jin-tae (Jang Dong-gun) has always looked out for his little brother, Jin-seok (Won-bin), even shining shoes to raise funds for his college education. When the Korean War flares up and both brothers are drafted, Jin-tae decides he has to protect his younger sibling. Jin-tae makes a bargain with his commander: He'll take the riskiest missions if it will help shield Jin-seok from battle. In time, Jin-tae becomes a war hero -- with a growing blood lust that shocks his younger brother."
Jack of All Trades,"Bruce Campbell lends his patented brand of tongue-in-cheekiness to this high-energy action comedy as Jack Stiles, a roguish adventurer who serves as a secret agent for President Thomas Jefferson in 1801. Accompanied by his sexy English partner, Emilia Rothschild, Jack focuses most of his attention on foiling Napoleon's plans for world conquest. Gov. Croque runs the French island of Palau Palau, where Emilia has an export business and a secret laboratory. Croque's brother, Napoleon himself, is portrayed as being even more vertically challenged than usual, while a talking parrot (in uniform) named Jean-Claude frequently passes along vital information to Jack and Emilia."
13 Minutes,"On Nov. 8, 1939, Georg Elser (Christian Friedel) attempts to assassinate Adolf Hitler as the dictator gives a speech in Munich."
Marshall,"Young Thurgood Marshall faces one of his greatest challenges while working as a lawyer for the NAACP. Marshall travels to conservative Connecticut when wealthy socialite Eleanor Strubing accuses Black chauffeur Joseph Spell of sexual assault and attempted murder. He soon teams up with Sam Friedman, a local Jewish lawyer who's never handled a criminal case. Together, the two men build a defense while contending with racist and anti-Semitic views from those who deem Spell to be guilty."
Kick Buttowski: Suburban Daredevil,"Most boys are worried about school and friends -- but Kick Buttowski has more important things to think about. His goal is to become the greatest daredevil the world has ever known. With the help of his loyal sidekick, Gunther, and some unusual methods, Kick will try almost anything, from racing the school bus on a skateboard to flying down Dead Man's Drop on an ironing board."
Manchester by the Sea,"After the death of his older brother Joe, Lee Chandler (Casey Affleck) is shocked that Joe has made him sole guardian of his teenage nephew Patrick. Taking leave of his job as a janitor in Boston, Lee reluctantly returns to Manchester-by-the-Sea, the fishing village where his working-class family has lived for generations. There, he is forced to deal with a past that separated him from his wife, Randi (Michelle Williams), and the community where he was born and raised."
3 Faces,"Actress Behnaz Jafari is distraught when she comes across a young girl's video plea for help after her family prevents her from taking up her studies at the Tehran drama conservatory. Behnaz abandons her shoot and turns to filmmaker Jafar Panahi to help with the young girl's troubles. They travel by car to the rural Northwest, where they have amusing encounters with the charming and generous folk of the girl's mountain village. But Behnaz and Jafar also discover that old traditions die hard."
A Thousand and One,"A THOUSAND AND ONE follows unapologetic and free-spirited Inez (Teyana Taylor), who kidnaps six-year-old Terry from the foster care system. Holding onto their secret and each other, mother and son set out to reclaim their sense of home, identity, and stability, in a rapidly changing New York City."
Country Comfort,"At a crossroads in her career, country singer Bailey takes a job as a nanny for cowboy Beau and his five children."
Dead Set,"Inspired, says creator Charlie Brooker, by the classic horror film ""Dawn of the Dead,"" this five-episode series chronicles a nightmare scenario in which Britain is taken over by zombies. No one is spared the wrath of the undead ... except the contestants and production staff filming a season of ""Big Brother"" in the U.K. As they're unaware of what's happening outside, the house becomes a safe haven. Then the doors open on eviction night and all hell breaks loose."
Hearts in Atlantis,"""Hearts In Atlantis"" is a drama based on Stephen King's best seller of the same name. It is the story of a mysterious man (Anthony Hopkins) who enlists the aid of a brilliant young boy (Anton Yelchin) to save his life. This friendship with a mysterious stranger forever changes the way he sees the world."
Don't Make Me Go,"When single father Max (John Cho) discovers he has a terminal disease, he decides to try and cram all the years of love and support he will miss with his teenage daughter Wally (Mia Isaac) into the time he has left with her. With the promise of long-awaited driving lessons, he convinces Wally to accompany him on a road trip from California to New Orleans for his 20th college reunion, where he secretly hopes to reunite her with her mother who left them long ago. A wholly original and emotional journey, Don't Make Me Go explores the unbreakable, eternal bond between a father and daughter from both sides of the generational divide with heart and humor along for the ride."
Believe Me: The Abduction of Lisa McVey,"A 17-year-old girl uses reverse psychology to get her kidnapper to set her free. When she returns home, the only person who believes her story is a veteran detective who realizes she was taken by a notorious serial killer."
Faraway,"Audrey arrives in the Philippines on a mysterious mission and has no chance of succeeding until Hazel, Rey, and Nick agree to help. They must cross 300 miles, ward off a local motorcycle gang, and keep from killing each other to reach their goal."
The Reader,A college student is kidnapped by goons and forced to translate a German manuscript containing clues to finding a mysterious briefcase.
Still Alice,"Dr. Alice Howland (Julianne Moore) is a renowned linguistics professor at Columbia University. When words begin to escape her and she starts becoming lost on her daily jogs, Alice must come face-to-face with a devastating diagnosis: early-onset Alzheimer's disease. As the once-vibrant woman struggles to hang on to her sense of self for as long as possible, Alice's three grown children must watch helplessly as their mother disappears more and more with each passing day."
The Consultant,A relationship between employee and boss and how far people will go to get ahead and to survive.
Cruel Summer,"In this anthology series, each season follows a new cast of characters who deal with traumatic events over several timelines, and how those events impact their lives."
Wallander,Swedish detective Kurt Wallander investigates a series of murders in the south of the country.
The Menu,"A couple (Anya Taylor-Joy and Nicholas Hoult) travels to a coastal island to eat at an exclusive restaurant where the chef (Ralph Fiennes) has prepared a lavish menu, with some shocking surprises."
For Life,"Inspired by the life of Isaac Wright Jr., ""For Life"" is a fictional serialized legal and family drama about an imprisoned man, Aaron Wallace, who becomes a lawyer, litigating cases for other inmates while fighting to overturn his own life sentence for a crime he didn't commit. His quest for freedom is driven by his desperate desire to get back to the family he loves and reclaim the life that was stolen from him. Aaron's complicated relationship with a progressive female prison warden helps shine a light on the flaws and challenges in the U.S. penal and legal systems."
Bob's Burgers,"Bob Belcher is a third-generation restaurateur who runs Bob's Burgers with his loving wife and their three children. Bob believes his burgers speak for themselves and isn't afraid to offer a variety of off-beat creations. Bob's wife, Linda, supports his dream but is becoming sick of the slow times, as the restaurant is constantly in danger of going out of business. Despite the challenges, which includes consistent harassment from Linda's ex -- a health inspector -- Bob tries to keep the grill sizzling."
Killer Bean Forever,Killer Bean confronts a group of gangsters.
Mr. Turner,"Eccentric British painter J.M.W. Turner (Timothy Spall) lives his last 25 years with gusto and secretly becomes involved with a seaside landlady, while his faithful housekeeper (Paul Jesson) bears an unrequited love for him."
The Miracle,"A boy's (Claudio D'Agostino) squabbling parents (Carlo Bruni, Anna Ferruzzo) seek to exploit their son's apparent power to heal the sick."
Limitless,"Based on the feature film of the same name, ""Limitless"" follows Brian Finch, who, possessed of extraordinary cognitive powers thanks to the mysterious drug NZT, works with the FBI to help solve complex cases. Working with him in New York City are Special Agent Rebecca Harris, an investigator with a dark past, and her confidant, Special Agent Boyle, who's a former military officer. Brian also maintains a secret relationship with Sen. Edward Mora, a fellow user of the drug who has plans of his own for his protege."
The Story of God with Morgan Freeman,"Academy Award winner Morgan Freeman explores the meaning of life, God, and many big questions in between in an effort to understand how religion has evolved and shaped society. A different divine subject is covered in each hourlong episode, titles of which include ""Creation,"" ""The Devil Inside,"" ""Afterlife,"" ""Apocalypse,"" and ""Who Is God?"" To explore these topics, host and narrator Freeman travels to the world's greatest religious sites, among them Jerusalem's Wailing Wall, India's Bodhi Tree, Mayan temples in Guatemala, and the pyramids of Egypt, and he immerses himself in religious experiences and rituals. ""In some places I found answers, and others led to more questions. The constant through it all is that we're all looking to be part of something bigger than us. If there's one thing I've learned, it's that we certainly are,"" Freeman says."
Crashing,"Sheltered suburbanite Pete dreams of a big-city career in comedy, but his wife, Jessica, has other ideas. Childhood sweethearts no more after he finds her in an uncompromising position with another man, Pete is suddenly homeless and frantically re-evaluating his priorities. As he attempts to find comfort in the rough-and-tumble New York comedy scene, the aspiring funny man bunks on other people's couches while learning hard lessons about life and himself. Created by and starring Pete Holmes, with Judd Apatow as a co-executive producer, ""Crashing"" draws on Holmes' own experiences as a comedian, presenting an inside look at the fickle world of stand-up comedy."
Shanghai Noon,"Bumbling Chon Wang (Jackie Chan) works as an Imperial guard in the Forbidden City of China. When Princess Pei Pei (Lucy Liu) is taken hostage, Wang pursues her captors to the wild frontier land of Nevada, where he meets good-natured thief and occasional cowboy Roy O'Bannon (Owen Wilson). Using O'Bannon's love of money, Wang convinces him to help recover the princess, and together the two form a curious partnership -- the likes of which the West has never seen."
Monos,A terrorized American engineer is held captive by teenaged guerilla bandits in a South American jungle.
Please Like Me,"Twentysomething Josh is going through a number of big changes as he navigates his first decade of adulthood. After being dumped by his girlfriend, he comes to the realization that he is gay. After that shocker, he moves back into the family home to help care for his mother, who has previously attempted suicide. He later moves out and into a house with best friend Tom. With his life in disarray, big challenges await Josh in his immediate future, which are especially hard for someone like him, who with a natural aversion to drama and emotion. So he deals with it all -- only in his own awkward, self-centered way."
See You Up There,"In 1918, just days before the Armistice, a tragic act of war intrinsically links two soldiers."
The Puppet Master: Hunting the Ultimate Conman,"A cruel con man masquerading as a British spy manipulates and steals from his victims, leaving ruined families in his wake."
Fear Itself,"John Landis, Darren Bousman, Ronny Yu, Brad Anderson, Breck Eisner, Mary Harron and Ernest Dickerson are among the directors who have signed on for this 13-part anthology of scary yarns featuring such performers as Brandon Routh, Eric Roberts, Cynthia Watros, Elisabeth Moss, John Billingsley, Pablo Schreiber, Jack Noseworthy and Shiri Appleby."
Far from Men,"In 1950s Algeria, a schoolteacher (Viggo Mortensen) agrees to deliver an admitted murderer (Reda Kateb) to a French court for trial."
Friends with Benefits,"Jamie (Mila Kunis) is a New York-based executive recruiter who entices Dylan (Justin Timberlake), an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship."
The Secret Life of Pets,"Max (Louis C.K.) is a spoiled terrier who enjoys a comfortable life in a New York building until his owner adopts Duke, a giant and unruly canine. During their walk outside, they encounter a group of ferocious alley cats and wind up in a truck that's bound for the pound. Luckily, a rebellious bunny named Snowball swoops in to save the doggy duo from captivity. In exchange, Snowball demands that Max and Duke join his gang of abandoned pets on a mission against the humans who've done them wrong."
Road to Ninja - Naruto the Movie,Naruto and Sakura are ambushed by Tobi and sent to an alternate reality.
The Witcher,"The witcher Geralt, a mutated monster hunter, struggles to find his place in a world in which people often prove more wicked than beasts."
Locke & Key,"Following their father's murder, three siblings move into a house filled with reality-bending keys; from the comics by Joe Hill and Gabriel Rodriguez."
New Tricks,"A BBC production, ""New Tricks"" dramatizes the work of the Unsolved Crime and Open Case Squad, led by Detective Superintendent Sandra Pullman and three previously retired police officers -- Gerry Standing, Jack Halford and Brian Lane -- whom Pullman recruited to reinvestigate unsolved crimes."
Sweet November,"Sara (Sandy Dennis), a free-spirited single woman living in Brooklyn, invites a new man to stay with her every month. For Sara, this is an opportunity to expose a man to new things, but it's also a way to make sure she will always be remembered by someone. Her latest boarder is Charlie (Anthony Newley), an uptight British businessman. Things, however, don't go as planned, and the two fall in love. Despite this, Charlie cannot stay any longer than his allotted month."
Dragon Ball,Goku and Bluma begin a quest to find the seven Dragon Balls.
Where Do We Go Now?,"Muslim and Christian women (Claude Baz Moussawbaa, Layla Hakim, Nadine Labaki) join forces to stem the tide of violence in their war-torn Middle Eastern village."
U Turn,"A two-bit criminal (Sean Penn) meets an attractive woman (Jennifer Lopez) and her spouse (Nick Nolte), each of whom wants him to murder the other."
A Christmas Carol,Ebenezer Scrooge experiences a dark night of the soul in an original take on Charles Dickens' iconic ghost story.
Ratched,A young nurse at a mental institution becomes jaded and bitter before turning into a full-fledged monster to her patients.
Unbreakable,David Dunn (Bruce Willis) is the sole survivor of a devastating train wreck. Elijah Price (Samuel L. Jackson) is a mysterious stranger who offers a bizarre explanation as to why David escaped without a single scratch -- an explanation which threatens to change David's family and his life forever.
Mushoku Tensei: Jobless Reincarnation,"When a wayward man is reincarnated with the knowledge, experience, and regrets from his previous life, he resolves to become successful in his new body."
Unbelievable,"When a teen reports being raped, then recants her story, two female detectives follow evidence that could reveal the truth; based on a true story."
Delicacy,A suddenly widowed Parisian executive (Audrey Tautou) finds her zest for life returning when she begins a romantic relationship with an employee (François Damiens).
Around the World in 80 Days,Gentleman adventurer Phileas Fogg sets out on a quest to travel around the world and back home in a period of 80 days.
The Fairly OddParents,"Timmy Turner, a 10-year-old boy, has had it with his babysitter! He summons his fairy godparents who have the power to grant him wishes. Some of the wishes are really helpful, others don't work out so well. Timmy's godparents Wanda and Cosmo have ideas of their own and always lead Timmy on interesting adventures."
Starting Out in the Evening,"A complex relationship develops between Leonard (Frank Langella), an academic novelist of advancing years, and Heather (Lauren Ambrose), a determined, fresh-faced graduate student doing her master's thesis on Leonard's career. Leonard keeps everyone at an emotional distance, including his devoted daughter, Ariel (Lili Taylor), and her unsettled boyfriend, Casey (Adrian Lester). Heather's attention, although motivated by selfish interests, forces Leonard to reexamine his life."
Allied,"Max Vatan (Brad Pitt) and Marianne Beauséjour (Marion Cotillard) are World War II operatives who never reveal their true identities. After falling in love during a risky mission, they hope to leave all that double-dealing behind them and start new lives. Instead, suspicion and danger envelop their marriage as both husband and wife become pitted against each other in an escalating, potentially lethal test that has global consequences."
Shershaah,"The life of Indian Army Capt. Vikram Batra, awarded with the Param Vir Chakra, India's highest award for valor for his actions during the 1999 Kargil War."
"Food, Inc.","Documentary filmmaker Robert Kenner examines how mammoth corporations have taken over all aspects of the food chain in the United States, from the farms where our food is grown to the chain restaurants and supermarkets where it's sold. Narrated by author and activist Eric Schlosser, the film features interviews with average Americans about their dietary habits, commentary from food experts like Michael Pollan and unsettling footage shot inside large-scale animal processing plants."
